TMDB ID,Title,Budget,IMDB ID,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters,Wikidata ID
1008903,Left Behind: Rise of the Antichrist,10000000,tt16174868,2023-01-26,3649422,,,,,,,,,,,,,/7Yn4lvksfagrwH5FARlRXkeJWR0.jpg,,,
1083160,The Journey: A Music Special from Andrea Bocelli,0,tt26769730,2023-04-02,3597587,,,,,,,,,,,,,/6qaHXYne2BqcIR55rQ1XdmG1XRA.jpg,,,
812635,Chevalier,35000000,tt12758486,2023-04-20,4200000,,,,,,,,,,,,,/iLhp2fqA0VDIhnC20QHDnw5Yrcf.jpg,,,
809787,Mafia Mamma,41000000,tt13923456,2023-04-13,3900000,,,,,,,,,,,,,/x83FFyGGux31l7OiF9NZHeq6ZWv.jpg,,,
855263,A Thousand and One,0,tt12427158,2023-03-31,3395595,,,,,,,,,,,,,/yW97MlBddOeiw17zUSf2iWvOmkr.jpg,,,
970948,What Happens Later,3000000,tt19890316,2023-11-02,3370345,,,,,,,,,,,,,/5TrWftAac3EeMcatyiCdAglWKb6.jpg,,,
,,,tt26687422,,,,,,,,,,,,,,,,,,
329,Jurassic Park,63000000,tt0107290,1993-06-11,920100000,,,,,,,,,,,,,/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg,,,
611359,Tu Jhoothi Main Makkaar,0,tt8672856,2023-03-08,0,,,,,,,,,,,,,/zHLtNP4KP0GMi6p1ACf2QvVnBvI.jpg,,,
852247,Problemista,12000000,tt15078804,2024-03-01,2503154,,,,,,,,,,,,,/yiOuLdreveT8Pp5DQ2JQPy5Opu1.jpg,,,
1081021,Come Out in Jesus Name,0,tt27002406,2023-03-13,0,,,,,,,,,,,,,/u6quZ7rdcuew8qBuluyHFTBH0Q5.jpg,,,
830721,The Miracle Club,0,tt12712604,2023-07-14,6800000,,,,,,,,,,,,,/5MOOL38IZTylA7K04FvJ4PaklaI.jpg,,,
800787,A Good Person,0,tt14153080,2023-03-23,2196991,,,,,,,,,,,,,/gJ7Er54m6FqoHBpsx4ZS9uLZprW.jpg,,,
953365,Moving On,0,tt15488088,2023-03-17,2134280,,,,,,,,,,,,,/pUZxbnF2i4gHf55tjuKIURDi8vR.jpg,,,
880100,Fear,0,tt12830948,2023-01-27,2100000,,,,,,,,,,,,,/asCLy4s7HYP3zSRlLP4Qgme5L0A.jpg,,,
980078,Winnie the Pooh: Blood and Honey,100000,tt19623240,2023-01-26,7717044,,,,,,,,,,,,,/wtFwgFFk1ze789ghcadWGEVjj3N.jpg,,,
